answer,question,passage
True:,Вднх - это выставочный центр??,«Вы́ставочный центр» — станция Московского монорельса. Расположена между станциями «Улица Академика Королёва» и «Улица Сергея Эйзенштейна». Находится на территории Останкинского района Северо-Восточного административного округа города Москвы. Переход на станцию  ВДНХ Калужско-Рижской линии. Названа в честь Всероссийского выставочного центра — названия ВДНХ с 1992 по 2014 год. 20 ноября 2004 года линия монорельса начала работать в «экскурсионном режиме» и перевезла первых пассажиров .
True:,Вднх - это выставочный центр??,"Вы́ставка достиже́ний наро́дного хозя́йства  , в 1959—1991 годах — Вы́ставка достиже́ний наро́дного хозя́йства СССР , в 1992—2014 годах — Всеросси́йский вы́ставочный центр ) — выставочный комплекс в Останкинском районе Северо-Восточного административного округа города Москвы, второй по величине выставочный комплекс в городе. Входит в 50 крупнейших выставочных центров мира. Ежегодно ВДНХ посещают 30 млн гостей. 1 августа 2019 года выставка отпраздновала 80-летний юбилей. Территориально ВДНХ объединена с парком «Останкино» и Главным ботаническим садом , их общая площадь составляет почти 700 га: 240,2 га — площадь ВДНХ, 75,6 га — площадь парка «Останкино», 361 га — площадь ГБС, 9,5 га музейно-выставочный центр «Рабочий и колхозница» и площадь перед аркой Главного входа. На территории Выставки расположено множество шедевров архитектуры — 49 объектов ВДНХ признаны памятниками культурного наследия."
True:,Был ли джиган в black star??,"Вместе с этим треком они выступили на церемонии вручения наград MTV RMA — это был первый выход Джигана на большую сцену. В 2007 году Джиган стал официальным артистом лейбла Black Star Inc., выпустил первый песню и клип «Одноклассница» — совместная работа с Тимати. В марте 2011 года появилась совместная с Юлей Савичевой композиция «Отпусти». Песня поднялась в радиочарте «Tophit» до 8 места и заняла первое место чарта Weekly Audience Choice Top Hit . Количество просмотров клипа на YouTube превысило 17 миллионов."
True:,Xiaomi конкурент apple??,"Xiaomi — китайская компания, основанная в 2010 году и занимающаяся выпуском электроники и бытовой техники, а также разработкой программного обеспечения. Основной продукцией компании являются смартфоны, первый из которых был выпущен в 2011 году. В настоящее время Xiaomi производит широкий ассортимент смартфонов в разных ценовых сегментах и является одним из крупнейших производителей смартфонов в мире. Так, в третьем квартале 2014 года эта компания заняла наивысшее для себя третье место в мире по поставкам смартфонов, набрав 5,2 % в штучном выражении и уступив лишь Samsung и Apple . За весь 2017 год компания заняла по продажам первое место в Китае и второе место в Индии. В данном списке приводятся все смартфоны, когда-либо выпущенные компанией Xiaomi."
False:,Был ли автомат калашникова в вов??,"Отметив некоторые недостатки и в целом удачную конструкцию, специалисты ГАУ не рекомендовали принимать ПП Калашникова на вооружение по технологическим причинам. Заключение гласило: С 1942 года Калашников работал на Центральном научно-исследовательском полигоне стрелкового и миномётного вооружения ГАУ РККА. Здесь в 1944 году он создал опытный образец самозарядного карабина, который, хотя и не вышел в серийное производство, частично послужил прототипом для создания автомата. С 1945 года Михаил Калашников начал разработку автоматического оружия под промежуточный патрон 7,62×39 образца 1943 года. Автомат Калашникова победил в конкурсе 1947 года и был принят на вооружение."
True:,Может ли автомобиль ездить на газу??,"Автомобиль на природном газе — один из видов автомобилей на альтернативном топливе — они используют компримированный природный газ  или сжиженный природный газ . К этому классу не относятся автомобили, использующие в качестве топлива пропан-бутановую смесь, так как это принципиально другая технология. Мировыми лидерами по количеству автомобилей на природном газе являются: Иран — 3,3 миллиона автомобилей, Пакистан — 3,1 миллиона автомобилей, Аргентина — 2,17 миллиона автомобилей, Бразилия — 1,73 миллиона автомобилей, Индия — 1,50 миллиона автомобилей. Азиатско-Тихоокеанский регион лидирует по количеству автомобилей на природном газе с 8,45 миллионами автомобилей, за ним идет Латинская Америка с 4,43 миллионами автомобилей. 90 % автомобилей на природном газе в Латинской Америке двухтопливные — они могут использовать в качестве моторного топлива как компримированный природный газ , так и бензин. Большинство автомобилей с бензиновым двигателем могут быть переоборудованы на использование метана в качестве моторного топлива, и после переоборудования становятся двухтопливными."
True:,Может ли автомобиль ездить на газу??,"Для работы на газообразных топливах транспортные средства оснащаются газобаллонным оборудованием . Газобаллонное оборудование  автомобиля — дополнительное оборудование, позволяющее хранить и подавать в двигатель внутреннего сгорания  газообразное топливо. В зависимости от вида применяемых газообразных топлив и типа двигателей автомобили производятся или переоборудуются в газобаллонные автомобили: однотопливные, двухтопливные с независимым питанием двигателя одним из топлив и двухтопливные с одновременной подачей двух топлив . К газообразным автомобильным топливам относятся:  — компримированный природный газ , он же сжатый природный газ  — метан;  — сжиженный нефтяной газ  — пропан-бутановая смесь.В зависимости от применяемого газового топлива принципиальные схемы систем питания имеют свои специфические особенности и одновременно общие элементы. Для классификации систем ГБО используют термин «поколения». Хотя, на данный момент, официально утверждённой международной классификации автомобильного ГБО не существует, в профессиональных кругах сложилась определённая градация."
True:,Был ли автомобиль принцессы дианы в дтп??,"Несмотря на продолжительные реанимационные попытки, включая внутренний массаж сердца, она умерла в 4:00 утра, поскольку данные ранения оказались несовместимыми с жизнью. Позднее в то же утро, Жан-Пьер Шевенман , французский премьер-министр Лионель Жоспен, Бернадетт Ширак , и Бернар Кушнер , посетили палату, где лежало тело Дианы и отдали последнюю дань уважения. После их визитов, Англиканский Архидиакон Франции, отец Мартин Дрейпер, прочитал благодарственные молитвы из Книги Общей Молитвы. Около 2:00 ночи, бывший муж Дианы, Чарльз, принц Уэльский, и две её старшие сестры, Сара Маккоркодейл и Джейн Феллоуз, прибыли в Париж; они оставили её тело спустя 90 минут. Первоначальные сообщения в СМИ заявили, что автомобиль Дианы столкнулся с столбом со скоростью 190 км/ч , и что стрелка спидометра застряла в этом положении."
True:,Есть ли в индийском океане акулы??,"Обыкновенная акула-молот, или молот-рыба  — один из видов рода акул-молотов , семейство молотоголовых акул . Максимальная зарегистрированная длина составляет 5 м. Эти рыбы обитают в тропических и тёплых умеренных водах всех океанов. Летом совершают миграции и уходят в более высокие широты, где вода прохладнее. Держатся ближе к поверхности воды по сравнению с сородичами, на глубине до 20 м. Передний край «молота» у них лишён выемки, что отличает их от прочих молотоголовых акул. Иногда собираются в стаи, численность которых достигает сотен, а иногда тысяч особей."
True:,Есть ли в индийском океане акулы??,"Ри́фовая аку́ла  — единственный вид рода рифовых акул из семейства серых акул отряда кархаринообразных. Обитают в Индийском и Тихом океанах, встречаются на глубине от 1 до 330 м. Максимальная зарегистрированная длина — 213 см. Кончики плавников окрашены в белый цвет. Рацион в основном состоит из костистых рыб, головоногих и ракообразных. Эти акулы размножаются живорождением, а эмбрионы питаются за счёт плаценты."
True:,Вреден ли алкоголь на первых неделях беременности??,"А Бакингем-Хоуз и её коллеги суммировали последствия, найденные в обзорных статьях ранее. Частые случаи задержки роста плода, результатом чего является укороченный средний срок беременности и сниженный вес при рождении. По сравнению с нормальными детьми, дети 3-4-недельного возраста демонстрируют «менее оптимальную»  двигательную активность, рефлексы, и ориентацию в пространстве, а дети 4-6 лет показывают низкий уровень работы нейроповеденческих функций, внимания, эмоциональной экспрессии, и развития речи и языка. Величина этих влияний часто небольшая, частично в связи с независимыми переменными: включая употребление во время беременности алкоголя/табака, а также факторы среды . У детей школьного возраста проблемы с устойчивым вниманием и контролем своего поведения, а также незначительные с ростом, познавательными и языковыми способностями."
True:,Бывает ли аллергия на алкоголь??,"Врождённая непереносимость алкоголя, покраснение при приёме алкоголя  — состояние, при котором лицо и/или тело человека краснеет, покрывается пятнами, повышается температура кожи из-за накопления ацетальдегида. Накопление ацетальдегида может быть вызвано миссенс-мутацией, генетическим полиморфизмом в гене, кодирующим фермент ацетальдегиддегидрогеназу , который в норме расщепляет ацетальдегид, основной продукт метаболизма этанола. Накопление ацетальдегида также может быть вызвано полиморфизмом гена, кодирующего фермент алкогольдегидрогеназу ADH1B, который катализирует превращение этанола в ацетальдегид. Покраснение связано с эритемой  на лице, шее, плечах и в некоторых случаях по всему телу после употребления алкоголя. Исследования указывают на то, что покраснение лица после употребления алкоголя является следствием недостатка фермента ALDH2."
True:,Бывает ли аллергия на алкоголь??,"Лица, имеющие врождённую непереносимость алкоголя, обычно имеют пониженное давление, возможно потому, что употребляют меньше алкогольных напитков. Наиболее точным способом измерения содержания ацетальдегида в организме является его определение в крови или в выдыхаемом воздухе. Кроме того, определяют концентрации ферментов, метаболизирующих этанол в крови — алкогольдегидрогеназы и альдегиддегидрогеназы. Возможно секвенирование соответствующих генов. Купероз  — хроническое заболевание кожи, при котором капилляры постоянно расширены, что приводит к появлению сосудистой сеточки на лице."
False:,Был ли ссср участником бернской конвенции??,"Бе́рнская конве́нция по охра́не литерату́рных и худо́жественных произведе́ний   — международное соглашение в области авторского права, принятое в Берне, Швейцария в 1886 году. Является ключевым международным соглашением в этой области. В настоящее время администрируется Всемирной организацией интеллектуальной собственности. Бернская конвенция была принята 9 сентября 1886 года в Берне, Швейцария. Первыми участниками конвенции были: Бельгия, Германия, Франция, Испания, Великобритания, Тунис и Швейцария."
False:,Был ли ссср участником бернской конвенции??,"Российская империя планировала присоединиться к Бернской конвенции в начале XX века, но, согласно Стояновичу, это не было реализовано из-за начала Первой мировой войны. После Октябрьской революции Советский Союз изначально вообще не имел международных обязательств в сфере авторского права. Во время проведения новой экономической политики  советское правительство неудачно пыталось заключить новые двусторонние соглашения с Великобританией, Германией и Италией. После этих провалившихся попыток СССР сохранял изоляционистскую политику в сфере авторского права до конца 1960-х годов. Первое двустороннее соглашение с Венгрией вступило в силу 17 ноября 1967 года, а 8 октября 1971 года последовало двустороннее соглашение с Болгарией."
True:,Был ли ленинград в блокаде??,"В этой статье описывается хронология событий периода блокады Ленинграда войсками вермахта во время Великой Отечественной войны Блокада Ленинграда продолжалась с 8 сентября 1941 года по 27 января 1944 года  — 872 дня. В сентябре 1941 года в окружённом городе оказалось 2 млн 887 тыс. жителей. В ходе эвакуации 1941—1943 годов из Ленинграда вывезено до 1 млн человек. Во время блокады Ленинграда в городе и его окрестностях было уничтожено 3 200 жилых зданий, 9000 деревянных домов, 840 фабрик и заводов."
False:,Правда ли что слоны боятся мышей??,"Слоновые хорошо слышат в области низких частот, вплоть до инфразвука, но наибольшая чувствительность их слуха на частоте около 1 кГц. Слоны обладают музыкальным слухом и музыкальной памятью, способны различать мелодии из трёх нот, музыку на скрипке и низкие звуки баса и рога предпочитают высоким флейтовым мелодиям. Также, вопреки распространённому заблуждению, слоны абсолютно не боятся мышей и других мелких животных.Слоны — социальные животные. Обычно они образуют группы из самок и детёнышей, возглавляемых старой и опытной самкой. Самцы образуют отдельные стада."
True:,Есть ли свидетельства о браке в сша??,"Свидетельство о заключении брака — официальный документ, подтверждающий, что два человека состоят в браке. В большинстве законодательств свидетельство о заключении брака выдаётся государственным служащим только после регистрации записи акта гражданского состояния. В некоторых странах, особенно в Соединенных Штатах, свидетельство о заключении брака является официальным документом о том, что два человека прошли церемонию бракосочетания, включая те страны, где не существует разрешения на брак. В других странах свидетельство о заключении брака служит двойной цели: предоставление разрешения на брак, а затем подтверждение того же документа и записи факта, что брак заключён. Свидетельство о заключении брака может потребоваться по ряду поводов, например в качестве доказательства изменения имени одной из сторон, по вопросам законнорождённости ребёнка, во время бракоразводного процесса, как часть генеалогического истории и других целей."
True:,Были ли у иисуса братья??,"Эту Марию видим в первый раз при распятии, затем видим её вечером того же дня, сидящую при гробе Иисуса, и рано утром в день воскресения она была вторично там с ароматами, которые приготовила в пятницу вечером. Она была одной из видевших явление ангелов, которые сказали, что Иисус жив . Некоторые предполагают, что упомянутые у Матфея  и дал. братья и сестры Иисуса были дети этой Марии. Срав."
True:,Были ли у сулеймана братья??,"Ещё одной из причин отступления Ахмеда от правил явилось влияние матери Сулеймана Кёсем, которая, опасаясь за жизнь сыновей, не желала после смерти султана видеть на троне шехзаде Османа, матерью которого была другая наложница. В итоге, после смерти отца Сулеймана на троне оказался его слабоумный дядя. Правление бездетного Мустафы было недолгим: в 1618 году произошёл переворот и на троне оказался Осман II. Влияние Кёсем помогло сохранить жизнь её сыновьям и в этот раз. Четыре года спустя произошёл очередной переворот: Осман был свергнут и убит."
True:,Были ли у сулеймана братья??,"Шехзаде́ Сулейма́н  — сын османского султана Ахмеда I и, вероятно,  Кёсем Султан. Шехзаде Сулейман родился в 1610/1611 году и был пятым сыном султана Ахмеда I и, вероятно, третьим сыном Кёсем Султан. После смерти Ахмеда I на трон должен был взойти единокровный брат Сулеймана, Осман II, а самого шехзаде, как и его братьев ждала незавидная участь — всех их должны были казнить по закону Фатиха. Однако несколькими годами ранее Ахмед I сохранил жизнь брату Мустафе уже после рождения собственных сыновей. Историки считают, что Ахмед I посчитал брата неспособным угрожать его правлению в виду явной психической болезни."
False:,Был ли бриллиант на титанике??,"5 апреля 2012 года, в год 100-летия легендарной катастрофы и 15-летия выпуска фильма состоялась премьера этого фильма в формате 3D и IMAX 3D. В 2017 году фильм был выбран для сохранения в Национальном реестре фильмов США. В 1996 году охотник за сокровищами Брок Лаветт и его команда на научно-исследовательском судне «Академик Мстислав Келдыш» на глубоководных батискафах «Мир-1» и «Мир-2» погружаются на дно Атлантического океана, где покоятся останки лайнера «Титаник», затонувшего 15 апреля 1912 года. Они обнаруживают сейф, в котором, по предположению Лаветта, должно находиться ожерелье с голубым бриллиантом, известное как «Сердце океана». В начале XX века один питтсбургский Ротшильд Натан Хокли приобрёл его для своего сына-промышленника Каледона, который подарил ожерелье в качестве свадебного подарка своей невесте — англичанке Розе Дьюитт Бьюкейтер, вместе с которой он плыл на «Титанике» в США, где они должны были пожениться."
True:,Был ли бунин в эмиграции??,"«Тёмные алле́и» — сборник рассказов о любви И. А. Бунина. Над «Тёмными аллеями» Бунин работал в эмиграции с 1937 по 1944 годы. Многие рассказы были написаны во время Второй мировой войны на юге Франции в городе Грасе, в очень стеснённых условиях вишистского режима. Позже, в 1953 году, добавив к своему сборнику два рассказа, автор стал считать «Тёмные аллеи» своим лучшим произведением. Произведение входит в программу изучения литературы в российских общеобразовательных школах."
True:,Был на зоне бунт??,"Бунт заключённых в следственном изоляторе города Сухуми 11 августа 1990 года — один из самых известных бунтов заключённых в истории СССР и России. В 1989 году, когда национальная обстановка в Абхазской АССР серьёзно осложнилась, Министерство внутренних дел СССР приняло решение о массовом изъятии нелегального оружия у населения республики. Часть изъятого оружия, около трёх тысяч единиц огнестрельного оружия и десятки тысяч единиц боеприпасов, была помещена в следственном изоляторе города Сухуми. Во главе бунта стояли два человека — некие Павел Прунчак и Мирон Дзидзария. Из характеристики на Павла Прунчака: Дзидзария также был приговорён к смертной казни за убийства."
True:,Был на зоне бунт в 1990 году??,"Восстание в тюрьме Спач  — восстание заключённых албанской тюрьмы Спач 21-23 мая 1973 года. Тюремный бунт, спровоцированный жестокостью порядков содержания, перерос в политический протест под антикоммунистическими лозунгами. Около двух суток тюрьма контролировалась заключёнными и была провозглашена освобождённой территорией Албании. Выступление подавлено силами Сигурими и полиции при армейской поддержке. Лидеры казнены или получили дополнительные сроки заключения."
True:,Был ли бурито в группе бандерос??,"Игорь Юрьевич Бурнышев  — российский автор-исполнитель, солист группы Burito, бывший участник группы «Банд’Эрос», режиссёр-постановщик, телеведущий, клипмейкер, актёр, диджей. В 1994 году окончил школу № 49 в Ижевске и поступил в Удмуртское училище культуры  на специальность «РТП». До 1996 года параллельно с учёбой работал на радиостанции «Радуга» ведущим прямого эфира. В училище окончил два курса, после чего переехал в Москву. В 1996 году поступил в Московский государственный университет культуры и искусств на специальность «Режиссёр театрализованных представлений и шоу-программ» на курс Владимира Соломоновича Маганета, где обучался в период с 1996 по 2001 годы."
False:,Были ли у андрея болконского прототип??,"I, 1, III. Не имеет ярко выраженных прототипов. Элементы военной карьеры прослеживаются в судьбе Николая Тучкова, Фёдора Тизенгаузена и Петра Волконского. Неудавшийся брак Наташи и Андрея частично срисован с неудавшегося брака Кузьминской и брата писателя Сергея — однако эти отношения не сложились из-за того, что Сергей не отказался от побочной семьи с цыганкой. Елизавета Карловна Болконская  , жена князя Андрея."
True:,Были ли у андрея болконского прототип??,"Андре́й Никола́евич Болко́нский  — один из центральных персонажей романа Л. Н. Толстого «Война и мир». Сын князя Николая Андреевича Болконского. Не имеет точных прототипов из реальной жизни. Некоторые элементы военной карьеры князя Андрея могли быть списаны с биографий Н. А. Тучкова, Ф. И. Тизенгаузена и Петра Михайловича Волконского. Сюжет помолвки Наташи и Андрея частично срисован с неудачной женитьбы Т. А. Кузьминской и старшего брата писателя — С. Н. Толстого."
True:,Были ли гладиаторы в древней италии??,"Гладиа́тор  — боец в Древнем Риме, который сражался с подобными себе на забаву публике на специальных аренах за право быть освобожденным от рабства. Основной причиной возникновения гладиаторских игр являлся заимствованный у этрусков погребальный обряд, подобный древней борьбе сумо в Японии. Потенциальные жертвы человеческих жертвоприношений — не только рабы, но и свободные — должны были с мечами в руках сражаться около могилы, и, таким образом, погибал слабый, а сильный оставался в живых, вызывая восторг присутствующих. Многие рабы добровольно старались попасть в школу гладиаторов, так как сражаясь на арене и завоевывая любовь публики, они могли завоевать себе свободу. Нередко рабы затевали драки между собой, чтобы таким образом показать свою силу перед хозяевами."
True:,Были ли гладиаторы в древней италии??,"Спарта́к  — руководитель восстания рабов и гладиаторов в Италии в 73—71 годах до н. э. Был фракийцем, при до конца не ясных обстоятельствах стал рабом, а позже — гладиатором. В 73 году до н. э. вместе с 70 сторонниками бежал из гладиаторской школы в Капуе, укрылся на Везувии и разбил высланный против него отряд. В дальнейшем смог создать сильную и относительно дисциплинированную армию из рабов и италийской бедноты и нанести римлянам ряд серьёзных поражений. В 72 году до н. э. он разбил обоих консулов, его армия выросла, по разным сведениям, до 70 или даже до 120 тысяч человек. С боями Спартак дошёл до северных границ Италии, по-видимому, предполагая перейти Альпы, но потом повернул обратно."
True:,Были ли ромео и джульетта на самом деле??,"Джулье́тта Капуле́тти  — главная героиня трагедии Уильяма Шекспира «Ромео и Джульетта», возлюбленная юноши Ромео Монтекки, с семьёй которого Капулетти состоят в давней вражде. История Ромео и Джульетты появилась задолго до написания известной трагедии английским драматургом. В её честь назван спутник планеты Уран, открытый 3 января 1986 года по снимкам аппарата «Вояджер-2». Истоки образов двух несчастных влюблённых появляется ещё у Овидия в его поэме о Пираме и Фисбе «Метаморфозы». Имена Ромео и Джульетты впервые используются в автобиографическом произведении Луиджи да Порто «Новонайденная история двух благородных влюблённых» , причём действие происходит именно в городе Вероне."
True:,Были ли женаты ленин и крупская??,"Наде́жда Константи́новна Кру́пская,  февраля 1869 год, Санкт-Петербург, Российская империя — 27 февраля 1939 года, Москва, РСФСР, СССР) — российская революционерка, советский государственный, партийный, общественный и культурный деятель, организатор и главный идеолог советского образования и коммунистического воспитания молодёжи. Супруга 1-го председателя Совета Народных Комиссаров СССР Владимира Ильича Ленина. Доктор педагогических наук. Почётный член АН СССР . Член Президиума Верховного Совета СССР."
True:,Были ли татары в золотой орде??,"Закрепление великого княжения за московскими князьями способствовало процессу восстановления единства Руси, являвшегося основой дальнейших шагов по преодолению золотоордынского ига. В конце 1440-х годов хан Большой Орды Сеид-Ахмед начинает военные действия против Великого княжества Московского. В 1449 году «скорые татарове Седядахматовы» напали на южные московские земли, но на реке Пахре были разбиты служилыми татарами под командованием царевича Касима, вышедшего из Звенигорода. В 1450 году татарские отряды под предводительством Малымбердея попытались напасть на южнорусские земли, но были встречены и разбиты русскими полками в бою на реке Битюг. В июне 1451 года сын Сеид-Ахмеда Мазовша с конницей смог переправиться через р. Оку и прорвался к Москве."
True:,Были ли татары в золотой орде??,"Монго́ло-тата́рское и́го, татаро-монгольское иго, монгольское иго, татарское иго, ордынское иго — система политической и даннической зависимости русских княжеств от Монгольской империи до 1260-х годов, позже, после распада Монгольской империи, от Золотой Орды до конца XV века. Установление ига стало возможным в результате монгольского нашествия на Русь в 1237—1242 годах; иго устанавливалось в течение двух десятилетий после нашествия, в том числе и в неразорённых землях. В Северо-Восточной Руси длилось до 1480 года. В других русских землях устранялось в XIV веке по мере присоединения их к Великому княжеству Литовскому и Польше. В 2013 году стало известно, что иго будет входить в единый учебник истории России под названием «ордынское владычество»."
False:,Были ли у казахов фамилии??,"Казахская фамилия  — первая часть современного казахского имени. У древних казахов было только имя, и по прошествии некоторого времени к нему добавлялось какое-нибудь слово, характеризовавшее его. Например, Богенбай был батыром, значит он звался Богенбай-батыр, Бухар был великим жырау, значит Бухар-жырау, или Балуан-шолак, от того что он был шолак — без руки, то есть их социальный статус давал им полное имя. При замужестве девичья фамилия обычно сохраняется. Например, Дарига Назарбаева при замужестве фамилию не меняла."
